Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2;Rješavanje problema;Puko pamćenje činjenica;Indikator 3;Mutiperspektivni pristup;Pristup jedne perspektive;Indikator 4 ;Diferencirani prikazi;Stereotipni prikazi
18;NI/ZS;Vjeronauka;B;6;V10;Fatima Ez-Zehra omiljena kćerka;Ne;;Ne;;Ne;;;2;;NI-67-4;2;;NI-66-1, NI-66-2, NI-67-2, NI-67-3, NI-67-5;2;;NI-67-1;0;;
19;NI/ZS;Vjeronauka;B;6;V10;Moji roditelji, moji uzori;Ne;;Ne;;Ne;;;2;ZS-70-a, NI-69-3;ZS-69-a, ZS-69-b, NI-69-5;2;NI-69-2;ZS-69-c, ZS-70-b, NI-69-1;0;;;2;;ZS-69-d, NI-69-4
20;NI/ZS;Vjeronauka;B;6;V10;Iz života Poslanika, a.s. Događaj koji je prethodio Hidžri;Ne;;Ne;;Ne;;;2;NI-73-4;ZS-73-a, ZS-73-b, NI-73-6;2;;ZS-73-c, NI-73-1, NI-73-2, NI-73-3;2;;NI-73-5;0;;
21;NI/ZS;Vjeronauka;B;6;V10;Hidžra - put ka uspjehu - Tale a-l-Bedru alejna;Ne;;Da;mir ZS-77-b, odgovornost NI-76-3;Da;pobožnost NI-77-1;redukcija;1;ZS-76-a;NI-77-3;2;;ZS-76-b, ZS-77-a, NI-76-1, NI-76-2, NI-77-2;2;;NI-75;0;;
22;NI/ZS;Vjeronauka;B;6;V10;Međusobno pomaganje muslimana;Ne;;Da;saradnja ZS-78, solidarnost ZS-79-a, NI-78-1, jednakost NI-78-2, odgovornost NI-78-3 ;Da;pobožnost NI-79-3;redukcija ;2;NI-80-3;NI-80-2;2;NI-79-2;ZS-80, NI-78-4, NI-78-5, NI-79-1, NI-80-1;0;;;0;;
23;NI/ZS;Vjeronauka;B;6;V10;Snaga zajedništva - Izgradnja Poslanikove džamije;Ne;;Ne;;Ne;;;1;ZS-83-c;;2;;ZS-82, ZS-83-b, NI-82-1, NI-82-2, NI-82-3, NI-83-1, NI-83-2;0;;;0;;
24;NI/ZS;Vjeronauka;B;6;V10;Poslanikova džamija nekad i sad;Ne;;Ne;;Ne;;;2;;NI-85-4, NI-86-4;2;;ZS-86, ZS-87;2;;NI-85;0;;
25;NI/ZS;Vjeronauka;B;6;V10;Vjerom do prosvijetljenosti i oplmenjenosti - Sura El-kafirun;Da;neravnopravnost NI-88-3;Da;sloboda ZS-88, NI-88-5, NI-89-3;Da;pobožnost NI-88-6;redukcija ZS-88, ZS-89-c;2;;ZS-89-a, NI-88-1, NI-89-1, NI-89-2, NI-89-4;1;ZS-89-b;;2;;NI-88-2, NI-88-4;2;;
26;NI/ZS;Vjeronauka;B;6;V10;Razvoj vjerovanja;Ne;;Ne;;Ne;;;2;;ZS-91-b, ZS-91-c, NI-90-1, NI-91-2;2;ZS-91-d;NI-90-3, NI-91-1, NI-91-3;2;;ZS-91-a, NI-90-2;0;;
27;NI/ZS;Vjeronauka;B;6;V10;Osobe koje poštujem;Ne;;Da;saradnja, jednakost ZS-92, ZS-93a, odgovornost NI-93-1;Ne;;;2;NI-93-6;ZS-93-c, NI-93-2;2;NI-93-5;ZS-93-b, NI-93-3, NI-93-4;2;;NI-92-1, NI-92-2;0;;
28;NI/ZS;Vjeronauka;B;6;V10;Stvoritelj nam se otkriva u svojim djelima;Ne;;Ne;;Ne;;;2;NI-95-3, NI-95-4;ZS-95;2;;ZS-96, NI-95-1, NI-95-2;0;;;0;;
29;NI/ZS;Vjeronauka;B;6;V10;Milost Božija;Ne;;Da;odgovornost NI-98-4;Da;pobožnost NI-98-1;mistifikacija;2;;NI-98-2, NI-98-3;2;;ZS-98, NI-98-1;0;;;0;;
30;NI/ZS;Vjeronauka;B;6;V10;Posljedice mojih djela - Sura El-Maun;Ne;;Da;odgovornost ZS-99, NI-99-2;Ne;;;2;NI-100-2;ZS-100, NI-101-1, NI-101-2 ;2;;NI-100-1;0;;;0;;
31;NI/ZS;Vjeronauka;B;6;V10;Pravednost Božija;Ne;;Da;jednakost ZS-102, NI-103-4;Da;pobožnost NI-103-3, NI-103-5;mistifikacija ZS-102, redukcija;2;ZS-103-b, NI-103-4;ZS-103-a, NI-103-2;1; ZS-103-c, NI-103-7 ;NI-103-1;0;;;0;;
32;NI/ZS;Vjeronauka;B;6;V10;Različiti oblici molitve;Da;neravnopravnost NI-104;Ne;;Ne;;;2;NI-105-3;ZS-106-c, ZS-106-e, NI-105-5, NI-106-3;2;;ZS-106-d, NI-105-1, NI-105-2, NI-105-4, NI-106-1, NI-106-2;1;;ZS-104, ZS-105-b;1;;ZS-105-a
